,0
SO2CarSINGLE,1.7475592623130192
Nd0SO2SINGLE,1.6417630325773371
.=OSO2DOUBLE,1.4613572282965468
CarSO2SINGLE,1.7475592623130192
CarC2rSINGLE,1.4650867890628958
C2rNacDOUBLE,1.3483168920189212
NacC2rDOUBLE,1.3483168920189212
NacC2rSINGLE,1.3766126250600181
C2rCarSINGLE,1.465086789062896
C2rNacSINGLE,1.3766126250600181
C2r.=ODOUBLE,1.2340136618911481
.=OC2rDOUBLE,1.2340136618911481
NacCs3SINGLE,1.4696172057816093
Cs3NacSINGLE,1.4696172057816093
.=OCarDOUBLE,1.2443235502990608
Car.=ODOUBLE,1.2443235502990608
Cs3SO2SINGLE,1.7703656771098737
SO2Cs3SINGLE,1.7703656771098737
HalCarSINGLE,1.7897567386080564
CarHalSINGLE,1.7897567386080564
NacO_dSINGLE,1.3844476442045561
O_dNacSINGLE,1.3844476442045561
Nac.=ODOUBLE,1.287301670918352
Nac.=OSINGLE,1.2848978167907548
.=ONacDOUBLE,1.287301670918352
.=ONacSINGLE,1.2848978167907548
Cs2C3rSINGLE,1.5173194472906348
C3rCs2SINGLE,1.5173194472906348
C2rNd0SINGLE,1.3726227944901126
Nd0C2rSINGLE,1.3726227944901126
CarSulSINGLE,1.7146631417837386
SulCarSINGLE,1.7146631417837386
Nd0NacSINGLE,1.3539341512398135
NacNd0SINGLE,1.3539341512398135
C2rC2rSINGLE,1.4516914616863477
C2rCs2DOUBLE,1.3916562640334027
Cs2C2rDOUBLE,1.3916562640334027
CarCspSINGLE,1.4260024262797295
CspCarSINGLE,1.4260024262797295
CspNacTRIPLE,1.1497448421027978
NacCspTRIPLE,1.1497448421027978
Cs2Cs2DOUBLE,1.3662022988439684
Cs2Nd+DOUBLE,1.3313919840362642
Nd+Cs2DOUBLE,1.3313919840362642
CarNd+SINGLE,1.3703876536033228
CarNd+DOUBLE,1.348737855352407
Nd+CarSINGLE,1.3703876536033228
Nd+CarDOUBLE,1.348737855352407
SulC3rSINGLE,1.7889085068846018
NacNacDOUBLE,1.3070479157989014
C3rSulSINGLE,1.788908506884602
C3rSO2SINGLE,1.788068257240461
SO2C3rSINGLE,1.788068257240461
SO2NacSINGLE,1.6640714658736107
NacSO2SINGLE,1.6640714658736107
Cs3C2rSINGLE,1.5038887143931756
C2rCs3SINGLE,1.5038887143931756
CspCspTRIPLE,1.200053730801414
Cs2Cs2SINGLE,1.4925646059627133
Cs2CspSINGLE,1.4226609765052343
CspCs2SINGLE,1.4226609765052343
C2rSulSINGLE,1.7167936741997587
SulC2rSINGLE,1.7167936741997587
Cs2NacDOUBLE,1.3098949608969526
NacCs2DOUBLE,1.3098949608969526
Nd0O_dSINGLE,1.374532391324905
O_dNd0SINGLE,1.374532391324905
O_dCs2SINGLE,1.2491145970894877
Cs2O_dSINGLE,1.2491145970894877
C2rO_aSINGLE,1.383219871619068
O_aC2rSINGLE,1.383219871619068
Cs2C2rSINGLE,1.469485593249532
C2rCs2SINGLE,1.469485593249532
C3rHalSINGLE,1.8043310087380726
HalC3rSINGLE,1.8043310087380722
Nd+SO2SINGLE,1.6399311463495612
SO2Nd+SINGLE,1.6399311463495612
Nd+C2rDOUBLE,1.3395975458736817
C2rNd+DOUBLE,1.3395975458736817
O_aNacSINGLE,1.3850890208967002
NacO_aSINGLE,1.3850890208967002
CspCs3SINGLE,1.4723520574863584
Cs3CspSINGLE,1.4723520574863584
SulSulSINGLE,2.0273395674076626
Cs2Nd+SINGLE,1.3688553265556882
Nd+Cs2SINGLE,1.3688553265556882
C2rNd+SINGLE,1.3582704075235674
Nd+C2rSINGLE,1.3582704075235674
C2r.=OSINGLE,1.3170081508642737
.=OC2rSINGLE,1.3170081508642737
Nd+O_dSINGLE,1.3057042718068055
O_dNd+SINGLE,1.3057042718068055
CspC3rSINGLE,1.4724221050154043
C3rCspSINGLE,1.4724221050154043
Car.=OSINGLE,1.3752563520810883
.=OCarSINGLE,1.3752563520810883
Nd0CspSINGLE,1.3736703373236696
CspNd0SINGLE,1.3736703373236696
O_dC2rSINGLE,1.2562634300931965
C2rO_dSINGLE,1.2562634300931965
SO2O_dSINGLE,1.4947340871484445
O_dSO2SINGLE,1.4947340871484445
SulCs2SINGLE,1.723134517674003
Cs2SulSINGLE,1.723134517674003
NacNd0DOUBLE,1.2094342659397914
Nd0NacDOUBLE,1.2094342659397914
CspCspSINGLE,1.435360579815771
Nd+CspSINGLE,1.2974734802735328
CspNd+SINGLE,1.2974734802735328
CspSulSINGLE,1.6657006926050695
SulCspSINGLE,1.6657006926050695
C2rCspSINGLE,1.4057142869470103
CspC2rSINGLE,1.4057142869470103
O_aNd0SINGLE,1.4054523692893155
Nd0O_aSINGLE,1.4054523692893155
O_aO_aSINGLE,1.4805964464206103
O_aO_dSINGLE,1.3665997875583402
O_dO_aSINGLE,1.3665997875583402
CarC2rDOUBLE,1.4334714416260395
C2rCarDOUBLE,1.433471441626039
NacSulSINGLE,1.6408359446677894
SulNacSINGLE,1.6408359446677894
C2rSO2SINGLE,1.7065738419433314
SO2C2rSINGLE,1.7065738419433314
Nd+Nd0SINGLE,1.3164532812096945
Nd0Nd+SINGLE,1.3164532812096945
CarSulDOUBLE,1.5955127702403453
SulCarDOUBLE,1.5955127702403453
Cs2SO2SINGLE,1.7401107949796546
SO2Cs2SINGLE,1.7401107949796546
C2rHalSINGLE,1.7276364620681064
HalC2rSINGLE,1.7276364620681064
Nd+NacSINGLE,1.3749747655407027
NacNd+SINGLE,1.3749747655407027
Cs2HalSINGLE,1.8177537464891107
HalCs2SINGLE,1.8177537464891107
Cs2CarDOUBLE,1.442078280718221
CarCs2DOUBLE,1.442078280718221
CspHalSINGLE,1.9311400777778918
HalCspSINGLE,1.9311400777778918
Nd+O_aSINGLE,1.4003646941406573
O_aNd+SINGLE,1.4003646941406573
C2rSulDOUBLE,1.6465204522374435
SulC2rDOUBLE,1.6465204522374435
SulNacDOUBLE,1.5892155297504496
NacSulDOUBLE,1.5892155297504496
Cs2Nd0DOUBLE,1.315457715017854
Nd0Cs2DOUBLE,1.315457715017854
Nd0SulSINGLE,1.6791655665835954
SulNd0SINGLE,1.6791655665835954
